X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-1006482.386,69498.1372,train,7.144017989518949E-4,97.55718509745631,0.9755636375517152
-353329.1518,53759.7539,train,1.8253472271210163E-4,36.24981474102439,0.6126247082327365
-744066.903,567546.9152,train,3.289747795128414E-4,74.34129579104864,0.8189880731941399
-933072.1254,-248228.5101,train,5.182502645985653E-4,92.62393731914014,0.9322936546657141
-435054.8056,682164.1343,train,2.647945600670281E-4,56.900413195766106,0.7473482617244266
-472286.5784,86294.6046,train,3.1776618073222864E-4,71.3321967854473,0.8081339772038061
-1046773.2,130445.3746,train,7.996890661820081E-4,98.41349428995757,0.9843109772154202
-141491.9418,755981.6768,train,1.536882966692516E-4,28.53111644893004,0.5499917496030069
-924115.9004,717709.6927,train,3.523258862453445E-4,79.41457199533446,0.8396687525034077
-1031393.679,-1030.5201,train,2.1986990094316334E-4,46.603614100670235,0.680927417120353
-696918.1337,700271.7758,train,3.7916385745006935E-4,83.50512793729322,0.8605362131180807
-73138.3881,575720.7344,train,1.5228035566893137E-4,28.264880511188792,0.5466878817799286
-953706.0111,-66708.6034,train,3.2108245044402376E-4,72.46089179127931,0.8114114586433693
-1045844.317,-146597.6539,train,3.213246607360544E-4,72.55101578873374,0.8116486304169386
-504764.7046,820750.3616,train,2.701614277913401E-4,58.306921251093655,0.7542957966135737
-1056588.601,55272.5047,train,2.1683398054773062E-4,45.60689389130924,0.675854733163581
-985604.7409,102763.0281,train,3.5645627987662725E-4,80.10519861614286,0.8430727278925385
-347376.7186,876824.0121,train,1.7450930060118505E-4,33.710559154701265,0.5961311709191375
-1104746.624,-6769.2303,train,5.092824927561552E-4,92.00986851836839,0.9290644252380457
-961632.6315,-183788.2498,train,3.569276360030853E-4,80.17562798505334,0.8434565626047067
-683026.73,1730469.284,train,3.434604454986368E-5,6.009629037209948,0.1634301676756541
-424706.8324,913086.6024,train,3.2339053912744744E-4,73.07762078183208,0.8136594506755711
-98482.3874,643728.2596,train,1.5137751279347753E-4,28.057238866198347,0.5445565217401964
-765256.6791,895159.4213,train,2.605469464648315E-4,56.02556884208076,0.7417106318048339
-847377.9783,337032.559,train,3.052607794465208E-4,68.28451926993807,0.7952541834100338
-980554.7907,124697.1077,train,4.5641361830011886E-4,89.45222745234503,0.9066409390442399
-480002.0434,683549.7578,train,4.128824903178021E-4,86.49085139890836,0.8829478666610411
-992934.1491,121436.6562,train,6.137559833949214E-4,95.71126886321173,0.9587777230976913
-1103567.801,55782.768,train,1.7532008757291994E-4,33.91956306005626,0.5978288712473847
-771760.5107,141030.8837,train,2.1678818605660652E-4,45.58563513165622,0.6757776014597237
-905741.078,-277811.5667,train,5.956692950997806E-4,95.29177524377627,0.9547162424782053
-1026041.507,809026.0169,train,2.6142531611472736E-4,56.27952344846948,0.742886670459606
-447227.9822,172572.0672,train,1.573892906630479E-4,29.36092283811419,0.5585620975868705
-978670.2892,856622.0207,train,4.3585303877461664E-4,88.05355138979196,0.8961159198458689
-820046.8327,-179040.6044,train,0.0012099080946648066,99.41743613061155,0.9981379771133181
-832745.5201,344953.6477,train,1.8900576048022852E-4,38.01425776624428,0.6254319047966486
-579752.7474,672472.6235,train,2.7229747141641275E-4,58.877754522789836,0.75700750762786
-987024.4691,255993.2176,train,1.563660026741744E-4,29.15388714120991,0.556208941099589
-320034.3512,848836.3718,train,3.3828473613876903E-4,76.41434461357416,0.8275352386899548
