Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.87354E-4,50.030127265,0.693131734,0.097425105,0.494017094,0
3.88442E-4,50.26289468,0.694148574,0.096682347,0.499145299,0
3.90334E-4,50.535392074,0.695907465,0.095815796,0.502564103,0
3.92598E-4,50.770466692,0.698000325,0.095073038,0.502564103,0
3.93931E-4,51.006547279,0.699225092,0.09433028,0.502564103,0
3.96342E-4,51.283090518,0.701429088,0.093463729,0.505982906,0
3.98546E-4,51.521581166,0.703429051,0.092720971,0.507692308,0
4.00135E-4,51.76113876,0.704863101,0.091978212,0.509401709,0
4.01402E-4,52.001457337,0.706001027,0.091235454,0.509401709,0
4.03455E-4,52.283474687,0.707836246,0.090368903,0.514529915,0
4.04796E-4,52.526066759,0.709028266,0.089626145,0.51965812,0
4.07474E-4,52.769758847,0.7113956,0.088883387,0.521367521,0
4.10856E-4,53.015410279,0.714356498,0.088140629,0.524786325,0
4.13779E-4,53.262988408,0.716891768,0.087397871,0.528205128,0
4.15139E-4,53.511799804,0.718063397,0.086655113,0.531623932,0
4.18358E-4,53.762058099,0.720817809,0.085912355,0.535042735,0
4.20972E-4,54.014327336,0.723034419,0.085169596,0.538461538,0
4.22166E-4,54.267340587,0.724041116,0.084426838,0.541880342,0
4.23724E-4,54.521126245,0.725349839,0.08368408,0.543589744,0
4.27266E-4,54.776401606,0.728300109,0.082941322,0.547008547,0
4.29728E-4,55.033435069,0.730332771,0.082198564,0.55042735,0
4.31039E-4,55.291685711,0.73140896,0.081455806,0.552136752,0
4.35657E-4,55.508910086,0.735165374,0.080836841,0.552136752,0
4.40067E-4,55.771698563,0.738703521,0.080094083,0.553846154,0
4.41633E-4,56.036319692,0.739948078,0.079351325,0.553846154,0
4.43779E-4,56.257877033,0.741644684,0.078732359,0.555555556,0
4.45517E-4,56.524854973,0.743010347,0.077989601,0.558974359,0
4.47032E-4,56.79263996,0.744195378,0.077246843,0.558974359,0
4.49373E-4,57.016957278,0.746015096,0.076627878,0.560683761,0
4.51306E-4,57.287127094,0.747507809,0.07588512,0.562393162,0
4.52995E-4,57.513505121,0.748805097,0.075266155,0.562393162,0
4.581E-4,57.787443553,0.752685785,0.074523397,0.562393162,0
4.58636E-4,58.016702431,0.753089604,0.073904432,0.562393162,0
4.60475E-4,58.292729427,0.754470407,0.073161674,0.564102564,0
4.62048E-4,58.523327033,0.755645353,0.072542709,0.567521368,0
4.64659E-4,58.755072246,0.757583426,0.071923744,0.569230769,0
4.66113E-4,59.034282512,0.758656278,0.071180985,0.576068376,0
4.68028E-4,59.267667042,0.760061706,0.07056202,0.577777778,0
4.70127E-4,59.502199562,0.761592527,0.069943055,0.584615385,0
4.71839E-4,59.784787418,0.762833999,0.069200297,0.586324786,0
4.73827E-4,60.021381028,0.764267562,0.068581332,0.588034188,0
4.77079E-4,60.259347386,0.766594301,0.067962367,0.593162393,0
4.7975E-4,60.546591332,0.768487763,0.067219609,0.596581197,0
4.83734E-4,60.787789447,0.771283605,0.066600644,0.598290598,0
4.86866E-4,61.030197012,0.7734576,0.065981679,0.6,0
4.87389E-4,61.27382479,0.773819004,0.065362714,0.605128205,0
4.90866E-4,61.518600208,0.776204335,0.064743748,0.608547009,0
4.91509E-4,61.764208941,0.776643112,0.064124783,0.611965812,0
4.94195E-4,62.010537325,0.778465319,0.063505818,0.615384615,0
4.99532E-4,62.258734703,0.782042145,0.062886853,0.620512821,0
5.02514E-4,62.509481651,0.784015244,0.062267888,0.623931624,0
5.04366E-4,62.761400822,0.785231272,0.061648923,0.627350427,0
5.06817E-4,63.014439044,0.786830742,0.061029958,0.627350427,0
5.09223E-4,63.268503255,0.78838913,0.060410993,0.630769231,0
5.09862E-4,63.523335001,0.788801492,0.059792028,0.632478632,0
5.11475E-4,63.778759091,0.78983758,0.059173063,0.634188034,0
5.1297E-4,64.034979579,0.790793773,0.058554098,0.637606838,0
5.15383E-4,64.292034202,0.792327875,0.057935132,0.639316239,0
5.1736E-4,64.550263671,0.793575822,0.057316167,0.639316239,0
5.18059E-4,64.757392854,0.794015944,0.056820995,0.642735043,0
5.19487E-4,65.016838242,0.794910964,0.05620203,0.647863248,0
5.20965E-4,65.277229336,0.795833312,0.055583065,0.64957265,0
5.23358E-4,65.538122308,0.797318044,0.0549641,0.64957265,0
5.24879E-4,65.800333694,0.798255994,0.054345135,0.651282051,0
5.26665E-4,66.010778191,0.799351432,0.053849963,0.652991453,0
5.27713E-4,66.274404386,0.799991681,0.053230998,0.652991453,0
5.29977E-4,66.538971953,0.80136837,0.052612033,0.65982906,0
5.30902E-4,66.751229952,0.801927929,0.052116861,0.664957265,0
5.33128E-4,67.017193429,0.803267985,0.051497896,0.664957265,0
5.35899E-4,67.284635076,0.804923515,0.05087893,0.666666667,0
5.38378E-4,67.553230779,0.806392641,0.050259965,0.668376068,0
5.40515E-4,67.769065661,0.807650607,0.049764793,0.671794872,0
5.43451E-4,68.040160713,0.809364988,0.049145828,0.675213675,0
5.46476E-4,68.25820606,0.811115634,0.048650656,0.676923077,0
5.49811E-4,68.532442079,0.81302693,0.048031691,0.678632479,0
5.5221E-4,68.75290483,0.814389958,0.047536519,0.683760684,0
5.56882E-4,69.030509116,0.81701581,0.046917554,0.685470085,0
5.58489E-4,69.253644539,0.817910219,0.046422382,0.688888889,0
5.61842E-4,69.533718613,0.819763029,0.045803417,0.694017094,0
5.63546E-4,69.758765557,0.820697357,0.045308245,0.694017094,0
5.65797E-4,70.041199137,0.821924094,0.04468928,0.695726496,0
5.6755E-4,70.268145344,0.822873563,0.044194107,0.700854701,0
5.69986E-4,70.552908415,0.824184671,0.043575142,0.704273504,0
5.73051E-4,70.781555156,0.825820359,0.04307997,0.709401709,0
5.75332E-4,71.011493319,0.827027678,0.042584798,0.711111111,0
5.77864E-4,71.299975502,0.828358233,0.041965833,0.712820513,0
5.82204E-4,71.532113781,0.830615347,0.041470661,0.714529915,0
5.84802E-4,71.765701331,0.831951748,0.040975489,0.716239316,0
5.86565E-4,72.0001248,0.832853061,0.040480317,0.717948718,0
5.93524E-4,72.295396499,0.836362941,0.039861352,0.721367521,0
5.95728E-4,72.533330807,0.83745913,0.03936618,0.728205128,0
5.99232E-4,72.772626389,0.839187145,0.038871008,0.731623932,0
5.99913E-4,73.012419309,0.839520641,0.038375836,0.735042735,0
6.01904E-4,73.252800633,0.840492076,0.037880664,0.738461538,0
6.05121E-4,73.554809102,0.842049314,0.037261698,0.745299145,0
6.0715E-4,73.797335433,0.843023656,0.036766526,0.745299145,0
6.12752E-4,74.041982121,0.845683111,0.036271354,0.747008547,0
6.16922E-4,74.288302187,0.847633257,0.035776182,0.75042735,0
6.18262E-4,74.535352368,0.848254373,0.03528101,0.752136752,0
6.22705E-4,74.784004753,0.850296683,0.034785838,0.755555556,0
6.24907E-4,75.033713833,0.851298894,0.034290666,0.755555556,0
6.33837E-4,75.286053821,0.855293652,0.033795494,0.757264957,0
6.3777E-4,75.540388003,0.8570192,0.033300322,0.757264957,0
6.38888E-4,75.795813998,0.857505645,0.03280515,0.757264957,0
6.41283E-4,76.051934124,0.858542722,0.032309978,0.760683761,0
6.43045E-4,76.308902708,0.859300815,0.031814806,0.764102564,0
6.49107E-4,76.50301009,0.861878454,0.031443427,0.765811966,0
6.53129E-4,76.763310914,0.863561964,0.030948255,0.769230769,0
6.59589E-4,77.026366989,0.866223666,0.030453082,0.770940171,0
6.66148E-4,77.291953604,0.868873434,0.02995791,0.772649573,0
6.69061E-4,77.558813166,0.870032841,0.029462738,0.774358974,0
6.70469E-4,77.759882297,0.870589855,0.029091359,0.776068376,0
6.74571E-4,78.028942988,0.872198923,0.028596187,0.777777778,0
6.78114E-4,78.299642917,0.873572088,0.028101015,0.779487179,0
6.7903E-4,78.503265933,0.873925086,0.027729636,0.782905983,0
6.89649E-4,78.77636891,0.877942481,0.027234464,0.784615385,0
6.92231E-4,79.052818654,0.87889983,0.026739292,0.786324786,0
6.93989E-4,79.260763287,0.879547276,0.026367913,0.788034188,0
6.9913E-4,79.539385865,0.881421266,0.025872741,0.78974359,0
7.04746E-4,79.750549399,0.883434784,0.025501362,0.793162393,0
7.08465E-4,80.033183311,0.884749508,0.02500619,0.794871795,0
7.1301E-4,80.317726918,0.886336001,0.024511018,0.8,0
7.14922E-4,80.532062828,0.886996851,0.024139639,0.805128205,0
7.21383E-4,80.819212716,0.889201777,0.023644466,0.808547009,0
7.2485E-4,81.036279317,0.890367077,0.023273087,0.808547009,0
7.30729E-4,81.255002113,0.892315122,0.022901708,0.808547009,0
7.37489E-4,81.549455709,0.894512463,0.022406536,0.813675214,0
7.45827E-4,81.772086911,0.897161059,0.022035157,0.815384615,0
7.51646E-4,82.072090369,0.898970187,0.021539985,0.820512821,0
7.53953E-4,82.2981315,0.899678501,0.021168606,0.822222222,0
7.5744E-4,82.525223038,0.900739666,0.020797227,0.825641026,0
7.60015E-4,82.753073137,0.901516174,0.020425848,0.827350427,0
7.64172E-4,83.058055491,0.902756783,0.019930676,0.830769231,0
7.68217E-4,83.287912255,0.903948956,0.019559297,0.832478632,0
7.72716E-4,83.518929102,0.905257899,0.019187918,0.834188034,0
7.78109E-4,83.7514437,0.90680345,0.018816539,0.835897436,0
