Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.16697E-5,1.500326171,0.055387136,0.656098231,0.00094518,0
1.35108E-5,1.750411341,0.063840836,0.637954733,0.001890359,0
1.50282E-5,2.001079416,0.070751507,0.621827179,0.002835539,0
1.65303E-5,2.250222356,0.077541957,0.607349033,0.003780718,0
1.78867E-5,2.500962119,0.083631183,0.593970494,0.004725898,0
1.90925E-5,2.750381909,0.089010547,0.581599927,0.004725898,0
2.04054E-5,3.000851427,0.094831605,0.56996243,0.005671078,0
2.15674E-5,3.250162585,0.099952793,0.559058004,0.007561437,0
2.27713E-5,3.500763955,0.105227913,0.548703381,0.007561437,0
2.4165E-5,3.751941041,0.111296573,0.538898561,0.008506616,0
2.54812E-5,4.000257063,0.116989399,0.529735178,0.008506616,0
2.66675E-5,4.250478311,0.122089438,0.52093833,0.008506616,0
2.80533E-5,4.502591413,0.128009677,0.512508018,0.008506616,0
2.9522E-5,4.752898346,0.134240766,0.504535875,0.009451796,0
3.08481E-5,5.000198723,0.139828547,0.4970219,0.010396975,0
3.22124E-5,5.252168495,0.145539293,0.489691194,0.011342155,0
3.34604E-5,5.501973433,0.150730604,0.482727023,0.015122873,0
3.50573E-5,5.751413804,0.157326741,0.476037753,0.018903592,0
3.63438E-5,6.001284551,0.162603309,0.469623385,0.019848771,0
3.79741E-5,6.250368404,0.169242963,0.463483918,0.02268431,0
3.93283E-5,6.50159836,0.174717864,0.457527719,0.029300567,0
4.0549E-5,6.753229442,0.179622131,0.451754788,0.035916824,0
4.17768E-5,7.003986744,0.18452564,0.446165124,0.038752363,0
4.29082E-5,7.253846967,0.189018179,0.440758728,0.043478261,0
4.41093E-5,7.501668878,0.193760669,0.4355356,0.04442344,0
4.52266E-5,7.751778488,0.198147177,0.430404105,0.048204159,0
4.63939E-5,8.003855445,0.202704104,0.425364244,0.051984877,0
4.76106E-5,8.252683477,0.207426898,0.420507651,0.056710775,0
4.89355E-5,8.503375387,0.212537506,0.415742692,0.061436673,0
5.02827E-5,8.751240793,0.217700552,0.411161001,0.06805293,0
5.15898E-5,9.000789734,0.222677316,0.406670943,0.06899811,0
5.28738E-5,9.251280323,0.227535378,0.402272519,0.072778828,0
5.45979E-5,9.503984494,0.234011169,0.397965729,0.077504726,0
5.5987E-5,9.752953133,0.239189081,0.393842207,0.080340265,0
5.75133E-5,10.002482407,0.244837903,0.389810318,0.082230624,0
5.90555E-5,10.252775554,0.250503123,0.385870063,0.086011342,0
6.0521E-5,10.504004434,0.255847025,0.382021442,0.08979206,0
6.17617E-5,10.754636337,0.26034129,0.378264455,0.092627599,0
6.30278E-5,11.00432954,0.26489985,0.374599102,0.094517958,0
6.45928E-5,11.253337667,0.270495675,0.371025383,0.098298677,0
6.63491E-5,11.502198598,0.27672515,0.367543297,0.101134216,0
6.78616E-5,11.750506288,0.282046911,0.364152845,0.104914934,0
6.96858E-5,12.005069172,0.288413197,0.360762393,0.104914934,0
7.10193E-5,12.25133819,0.293031339,0.357555209,0.107750473,0
7.28129E-5,12.502197056,0.299195718,0.354348025,0.109640832,0
7.42734E-5,12.752480978,0.304175697,0.351232475,0.11436673,0
7.56137E-5,13.007403138,0.308714478,0.348116925,0.116257089,0
7.72533E-5,13.252370214,0.314226685,0.345184642,0.120037807,0
7.86662E-5,13.501810324,0.318941464,0.34225236,0.122873346,0
8.02879E-5,13.756442051,0.324312916,0.339320077,0.126654064,0
8.21332E-5,14.007995909,0.330373744,0.336479428,0.130434783,0
8.37793E-5,14.257018148,0.335734102,0.333730413,0.131379962,0
8.55337E-5,14.502917217,0.341400123,0.331073032,0.134215501,0
8.67863E-5,14.752701996,0.345416138,0.328415651,0.138941399,0
8.79567E-5,15.00628069,0.34914627,0.32575827,0.139886578,0
8.93262E-5,15.254569785,0.353483836,0.323192523,0.144612476,0
9.06147E-5,15.50654541,0.357538648,0.320626775,0.151228733,0
9.17929E-5,15.753008975,0.361224014,0.318152662,0.155009452,0
9.34275E-5,16.003251984,0.366302064,0.315678549,0.15973535,0
9.47293E-5,16.257186347,0.370317272,0.313204435,0.164461248,0
9.56015E-5,16.504853813,0.37299314,0.310821955,0.168241966,0
9.71355E-5,16.755880674,0.377671873,0.308439476,0.170132325,0
9.81952E-5,17.000424824,0.380883769,0.30614863,0.173913043,0
9.89369E-5,17.25670442,0.383121758,0.30376615,0.177693762,0
1.00037E-4,17.505946477,0.386427627,0.301475305,0.180529301,0
1.01555E-4,17.758375514,0.390958182,0.299184459,0.18241966,0
1.02736E-4,18.004028657,0.394459923,0.296985247,0.185255198,0
1.03959E-4,18.25213203,0.39806451,0.294786035,0.185255198,0
1.0512E-4,18.502965114,0.401466342,0.292586823,0.187145558,0
1.0605E-4,18.756531333,0.404177929,0.290387611,0.191871456,0
1.07105E-4,19.001832079,0.407241071,0.288280033,0.193761815,0
1.08503E-4,19.260538578,0.411273529,0.286080821,0.196597353,0
1.09611E-4,19.500650546,0.414449248,0.284064877,0.197542533,0
1.1098E-4,19.754368096,0.418350648,0.281957299,0.199432892,0
1.12213E-4,20.010717573,0.421842536,0.279849721,0.201323251,0
1.13282E-4,20.258880385,0.424851392,0.277833776,0.201323251,0
1.14518E-4,20.509724181,0.42831201,0.275817832,0.20415879,0
