X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-26850.3888,455438.5249,train,7.131807298155783E-4,78.04401358419072,0.6788318650183227
-1166328.52,1065104.725,train,1.1285418502617227E-4,11.744379379497877,0.2506347951460507
-1028192.858,841821.2218,train,1.9796166114867603E-4,22.510050022041085,0.3697585486926822
-965677.304,-71176.2844,train,7.100519239022424E-4,77.65349431117014,0.6778725328624176
-944866.523,-283.4005,train,3.916699745416055E-4,49.77447343939761,0.5372044632325635
-506382.4218,813142.1482,train,5.879968297491493E-4,70.04546239517944,0.6353864554543314
-807630.2611,564936.9375,train,4.4292541773203775E-4,54.98742202829283,0.567602301451464
-1083837.937,-188706.3977,train,3.4956062958765383E-4,44.041320260292565,0.5088367947467929
-308740.3369,881551.5772,train,3.238758476716499E-4,40.84329405369243,0.4897599556074792
-933612.3098,-220688.6705,train,2.5855380564141216E-4,31.824209263625878,0.43383473809543954
-367136.7702,782297.0428,train,3.217450008448624E-4,40.61502062333649,0.4881105284551366
-1044154.111,1033019.004,train,1.7170477672663197E-4,18.589145857261105,0.33725531423426514
-846581.9762,331210.6688,train,3.1902467278406614E-4,40.28131560623677,0.4859892393571905
-992749.7748,804502.5666,train,0.0013417179647708692,95.3239365967542,0.7990520186769287
-966880.5557,978091.677,train,0.0012755126222542118,94.54078960618212,0.79080379051
-448590.912,85940.843,train,2.8713784250766403E-4,35.66383847644896,0.45974636321710144
-319217.7409,-338896.8699,train,1.8228073207226148E-4,20.20312866052212,0.3507422465405683
-483990.3341,728497.0194,train,5.617294703411869E-4,67.07583314688294,0.6247347856909492
-430256.9789,867771.4571,train,3.743553825029821E-4,47.56778644777099,0.525946523176055
-1062306.944,297670.9187,train,4.0595964770538006E-4,51.415409943256684,0.5461005956950961
-930223.437,-90136.7283,train,5.252059167048218E-4,63.520861735552586,0.6088460543666643
-528922.8184,164268.7629,train,4.083230332267111E-4,51.647342212369075,0.5475390809919556
-536981.2209,655639.5737,train,5.273719611366645E-4,63.808466061586685,0.6098257785301855
-668269.2942,1550290.529,train,3.5212865937001704E-5,4.451935649072512,0.09449767307191428
-1001985.613,-126211.9982,train,4.686144383553538E-4,57.595805411740585,0.5813832064403648
-254926.8888,769599.8158,train,1.9732798689007508E-4,22.39054714219506,0.3690117139788094
-484921.4802,757768.981,train,4.1865931593173264E-4,52.69149080042688,0.5537246340666809
-391578.3197,885815.2562,train,3.6874350734804583E-4,46.78821278367811,0.5221792202731534
23310.53,-478074.6742,train,2.8781937748071463E-4,35.740328955803356,0.4603352611892278
-449361.2965,684124.7799,train,4.5473837773184954E-4,56.38289646202821,0.5740503828306031
-782338.3615,590480.6927,train,7.937539982701369E-4,82.68308257574827,0.701708614327902
-925068.0776,922613.3643,train,0.0010959664230701367,91.5686630226668,0.7645998277254192
-769607.0012,541363.2221,train,2.807907356046213E-4,34.908857222118336,0.45419962702615546
-460871.6845,799919.4348,train,5.92200873276028E-4,70.54105319282115,0.6370353561257694
23166.7845,511946.3127,train,1.6695554335491457E-4,18.031888015226745,0.33101485704340405
-508880.0355,844445.8002,train,6.797567193784351E-4,76.29879867398597,0.6682784036365048
-156334.3704,287433.7644,train,3.13623115899468E-4,39.59711114024198,0.48172460375822634
-457556.7971,90942.1657,train,5.54619854521361E-4,66.56195819798859,0.6217438948747583
-654750.5667,-271267.9986,train,2.9675354257296656E-4,36.80959452164224,0.4679380061868345
-424386.2018,84091.7732,train,1.6258858078934443E-4,17.49899153956692,0.32517208215927906
-863001.9755,1201646.379,train,1.0511387447795388E-4,11.11822810806846,0.23752770926572553
-938074.8298,158929.2051,train,5.296300142769991E-4,64.01810166512504,0.6108419078127184
-500551.1399,327939.5235,train,9.77657909060152E-4,89.09600132904129,0.7434224809664438
-937284.7568,-169428.798,train,2.3193610991350565E-4,27.433409302736358,0.40736618036337896
200409.1987,545148.1306,train,4.4917371886214166E-4,55.666677158873554,0.5710370525942144
-639118.4163,855908.0012,train,4.5868129211605526E-4,56.75411129017047,0.5761600195243893
-1027270.761,1285473.407,train,1.6299783155618305E-4,17.552077817930186,0.3257239695034891
-1050293.254,50202.4413,train,0.001050431349594667,90.71262376006722,0.7568763996405752
-402940.1711,924193.5545,train,5.717379805538407E-4,68.25087495981508,0.6288659147058842
-868156.423,889355.0364,train,9.772799514220808E-4,89.08769206851402,0.7433487185160838
-908288.9756,347580.6076,train,2.2115320360791064E-4,25.80012216998137,0.3959257393907539
-1049637.038,-146144.5544,train,3.813439475366415E-4,48.67062434950837,0.5305557653544988
-52891.1094,344618.4678,train,1.7501622400339123E-4,18.989211226388733,0.3415380859854704
-568466.6002,686045.088,train,5.355078694292924E-4,64.89010219114151,0.6134623040632768
-1153901.138,1352785.803,train,8.579061228828147E-4,85.78752114196877,0.7177176666794747
-1194500.886,1470718.889,train,7.549411163259464E-5,8.712623943282804,0.18283282253206562
-986574.7624,104008.0795,train,0.00122867253599184,93.62637463527534,0.7845469614315463
-1115774.532,919352.2449,train,7.321788859581756E-5,8.485996429430378,0.17830314250076626
-571879.1747,662822.8983,train,6.265478509525984E-4,72.71705905538589,0.6499680991337754
-1023253.726,858110.2974,train,6.765572694434828E-4,76.1596570799296,0.6672317061628025
-100039.3414,606946.8944,train,3.435143295940958E-4,43.29692241732638,0.5044755468029865
-519026.6984,91078.3408,train,6.16298094688774E-4,72.04522619341354,0.6462062489741978
-304986.1981,840016.6684,train,4.226452831809369E-4,53.27699123500448,0.5560650130251809
-669167.4305,345670.5325,train,6.474193747734809E-4,74.04643785065458,0.65738626808532
-463871.6805,694392.1593,train,7.329931683371165E-4,79.20271125162947,0.6847764186706001
-779588.2912,-211935.6117,train,0.001160211589420487,92.57972665491214,0.7746979927971759
-719697.2956,-241662.7808,train,7.144648337746997E-4,78.14616582367985,0.6792239360535693
-1048381.906,142821.7433,train,4.8449947844076194E-4,59.04338675884669,0.5894737201144498
-659211.1019,1518391.388,train,5.6383885722384114E-5,6.958184216579015,0.14317785597254093
-693572.8299,703803.3728,train,5.699448056949909E-4,67.93987345127633,0.6281324623260797
-1200497.033,1035912.971,train,3.78311308089069E-5,4.8559472203080745,0.10081570813429704
-1205218.079,1016545.927,train,9.546068537318698E-5,10.50592737705315,0.22052463530553365
-1073330.694,941706.5578,train,1.235672294294161E-4,12.921313738567594,0.26804958587836514
-71255.7567,220944.3403,train,4.844698936320083E-4,59.04033042274627,0.5894589427665863
-840728.2564,924496.0883,train,6.580574166150578E-4,74.88244956243449,0.6610475686588566
-619293.4831,318880.742,train,6.019424335474471E-4,71.12425512535297,0.6407994462451952
-1002988.375,86363.1151,train,0.0016883087547834824,97.55282023956552,0.833433100508381
-1115193.7,903251.2307,train,1.1078516752887362E-4,11.583793683690898,0.24717554813563072
-369495.8097,-511012.3102,train,2.05123390880133E-4,23.43392973049792,0.37807793000895135
-1041991.035,77273.6746,train,4.6375712677466637E-4,57.272759785991866,0.5788452481205347
-982666.0391,125420.0378,train,0.001012724594829335,89.85224979668592,0.7500864548874532
-997778.8631,-45665.2082,train,4.6239633894710726E-4,57.07963401977114,0.5781287051043226
